.04602 0.93481 -2.84733 0.71756 -0.06107 
0.01831 0.04956 0.93677 -2.87786 0.72519 0.00763 
0.01733 0.04858 0.93811 -2.83969 0.68702 -0.05344 
0.01770 0.04785 0.93848 -2.87786 0.65649 -0.11450 
0.01550 0.04309 0.93445 -2.92366 0.71756 -0.04580 
0.01721 0.03784 0.93555 -2.92366 0.61069 -0.04580 
0.01794 0.03723 0.93530 -2.88550 0.67176 0.00000 
0.01611 0.03955 0.93445 -2.94656 0.77099 -0.07634 
0.01697 0.04297 0.93835 -2.90840 0.76336 -0.03817 
0.01672 0.04797 0.93896 -2.89313 0.76336 -0.09160 
0.01782 0.04846 0.93738 -2.86260 0.64122 -0.06870 
0.01599 0.04883 0.94360 -2.85496 0.68702 -0.05344 
0.01782 0.04260 0.93970 -2.89313 0.70229 -0.09924 
0.01648 0.03943 0.93604 -2.87023 0.69466 -0.09160 
0.01880 0.03882 0.93372 -2.89313 0.70992 -0.06107 
0.01672 0.04077 0.93506 -2.81679 0.68702 -0.05344 
0.01746 0.04407 0.93542 -2.84733 0.65649 -0.06870 
0.01575 0.04468 0.93823 -2.94656 0.72519 -0.03053 
0.01672 0.04651 0.93640 -2.96183 0.66412 -0.09160 
0.01563 0.04651 0.93774 -2.90076 0.74046 -0.04580 
0.02075 0.04224 0.93604 -2.87023 0.75573 -0.00763 
0.01990 0.04187 0.94116 -2.92366 0.71756 -0.05344 
0.02271 0.03967 0.93481 -2.86260 0.71756 -0.05344 
0.01807 0.04297 0.93652 -2.80916 0.67939 -0.07634 
0.02014 0.04346 0.94629 -2.86260 0.63359 -0.00763 
0.01782 0.04858 0.93811 -2.77863 0.64885 -0.05344 
0.01611 0.04736 0.93701 -2.92366 0.74046 -0.03817 
0.01160 0.04504 0.93811 -2.87786 0.77863 -0.08397 
0.01685 0.03955 0.93726 -2.92366 0.70229 -0.04580 
0.01538 0.03845 0.93835 -2.89313 0.64122 -0.03817 
0.02197 0.03845 0.93616 -2.83969 0.74046 -0.12214 
0.01758 0.03931 0.93298 -2.89313 0.71756 -0.08397 
